SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
519,Yes,56,Female,Tertiary,Tenant,Self-Employed,Struggling,14,1,1,1,1,3,1,1,4,4,1,1,1,1,No,,No,, No,,No,,Rarely,,,,1,2,1,2,2,3,4,NA,Yes,No,Residential Area,No,Mixed,Fair,Open drainage,Community gate,None,Quiet
520,Yes,64,Male,Tertiary,Landlord,Self-Employed,Comfortable,16,1,1,1,1,1,1,1,5,5,4,4,4,2,No,,No,, No,,No,,Sometimes,,,,1,1,1,2,4,5,5,NA,Yes,Yes,Residential Area,No,Mixed,Good,Open drainage,None,None,Quiet
521,Yes,44,Female,Tertiary,Tenant,Self-Employed,Just getting by,4,1,1,1,1,1,1,1,5,5,2,2,2,5,No,,No,, No,,No,,Often,,,,1,1,1,3,3,3,5,NA,No,No,Residential Area,No,Mixed,Good,Open drainage,None,None,Quiet
522,Yes,25,Female,Tertiary,Tenant,Self-Employed,Just getting by,3,2,1,1,1,1,1,3,5,5,2,2,2,1,Yes,,Yes,Thrice(powerbank),No,,Yes,Once,Rarely,,,,1,1,1,2,2,2,2,NA,No,No,Residential Area,No,Mixed,Good,Open drainage,None,Bars/viewing centres,Moderate
523,Yes,27,Female,Tertiary,Tenant,Student,Struggling,7,1,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Rarely,,,,2,2,1,1,2,2,2,NA,No,No,Residential Area,No,Mixed,Fair,Abandoned/ Uncompleted Building,None,None,Moderate
524,Yes,21,Female,Tertiary,Tenant,Student,Comfortable,21,5,5,5,5,5,1,1,5,5,1,5,1,5,No,,No,,No,,No,,Rarely,,,,1,4,4,4,1,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Abandoned/ Uncompleted Building,Community gate,Bus stop/motor park,Moderate
525,Yes,46,Female,Secondary,Landlord,Self-Employed,Comfortable,4,2,1,1,1,1,1,1,5,5,1,1,1,5,Yes,,Yes,Once,No,,Yes,Once,Sometimes,,,,4,1,1,3,3,3,3,NA,No,No,Residential Area,No,Mixed,Fair,"Litter, Open drainage",None,Bars/viewing centres,Moderate
526,Yes,43,Female,Secondary,Landlord,Self-Employed,Comfortable,43,1,1,1,1,1,1,2,1,1,5,5,5,1,No,,No,,No,,No,,Often,,,,4,1,1,3,3,3,5,NA,No,Yes,Residential Area,Yes,Mixed,Poor,"Litter, Open drainage",None,None,Moderate
527,Yes,28,Female,Secondary,Tenant,Self-Employed,Just getting by,10,1,1,1,1,1,1,1,5,5,4,4,4,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,2,2,2,2,NA,Not sure,Yes,Residential Area,No,Mixed,Fair,Open drainage,None,None,Moderate
528,Yes,20,Female,Secondary,Tenant,Self-Employed,Comfortable,9,1,1,1,5,5,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,4,1,5,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,Open drainage,Both,Bus stop/motor park,Moderate
529,Yes,36,Male,Secondary,Tenant,Self-Employed,Comfortable,18,1,1,1,1,1,1,1,5,5,5,5,5,3,No,,No,,No,,No,,Sometimes,,,,1,1,1,2,3,3,3,NA,No,Yes,Major Road,Yes,No,Good,"Litter, Open drainage",None,Major market,Busy
530,Yes,29,Male,Secondary,Tenant,Self-Employed,Struggling,5,1,1,1,1,1,1,1,5,5,1,1,1,3,No,,No,,No,,No,,Sometimes,,,,4,1,1,3,1,4,4,NA,No,Yes,Major Road,Yes,No,Good,"Litter, Open drainage",None,Major market,Busy
531,Yes,28,Male,Secondary,Tenant,Self-Employed,Struggling,10,1,2,1,1,1,1,1,5,5,2,2,2,2,No,,Yes,Once,No,,Yes,Once,Sometimes,,,,1,1,1,2,1,4,5,NA,No,Yes,Residential Area,No,Mixed,Fair,Open drainage,None,Major market,Busy
532,Yes,25,Male,Secondary,Tenant,Self-Employed,Struggling,2,1,1,1,1,1,1,1,4,4,5,5,5,5,No,,No,,No,,No,,Rarely,,,,4,1,1,3,3,3,4,NA,No,Yes,Residential Area,No,No,Poor,"Litter, Open drainage",None,Major market,Quiet
533,Yes,31,Female,Secondary,Tenant,Self-Employed,Just getting by,2,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Often,,,,4,1,1,4,3,3,4,NA,No,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",None,None,Quiet
534,Yes,56,Female,Secondary,Tenant,Self-Employed,Just getting by,23,1,1,1,1,1,1,1,5,5,3,3,3,1,No,,No,,No,,No,,Rarely,,,,1,2,2,1,5,5,5,NA,Yes,Yes,Residential Area,No,Yes,Fair,None,None,Bus stop/motor park,Moderate
535,Yes,27,Male,Secondary,Tenant,Unemployed,Struggling,4,1,1,1,1,1,1,1,4,4,4,3,4,1,No,,No,,No,,No,,Rarely,,,,3,1,1,1,4,4,4,NA,No,Yes,Residential Area,No,Yes,Fair,None,None,None,Moderate
536,Yes,19,Female,Secondary,Tenant,Self-Employed,Comfortable,4,1,1,1,1,1,1,1,4,4,3,3,4,5,No,,No,,No,,No,,Rarely,,,,1,1,4,1,1,5,5,NA,Not sure,Yes,Close,No,No,Poor,"Litter, Open drainage",None,None,Quiet
537,Yes,36,Male,Tertiary,Tenant,Self-Employed,Struggling,9,1,1,1,1,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Sometimes,,,,2,1,1,3,5,4,4,NA,No,No,Residential Area,No,No,Good,Open drainage,None,None,Moderate
538,Yes,19,Female,Tertiary,Tenant,Self-Employed,Comfortable,15,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,4,2,1,3,2,3,1,NA,No,No,Residential Area,No,No,Poor,"Litter, Open drainage",None,None,Very Quiet
539,Yes,44,Female,Tertiary,Tenant,Self-Employed,Just getting by,14,1,1,1,1,1,1,1,5,5,3,4,4,1,No,,No,,No,,No,,Sometimes,,,,4,3,1,3,5,5,5,NA,No,No,Residential Area,No,No,Poor,Abandoned/ Uncompleted Building,None,None,Quiet
540,Yes,29,Female,Tertiary,Tenant,Self-Employed,Just getting by,2,1,1,1,1,1,1,1,1,1,1,1,1,3,No,,No,,No,,No,,Sometimes,,,,1,1,2,1,2,2,4,NA,No,No,Residential Area,No,No,Poor,Abandoned/ Uncompleted Building,None,None,Quiet
541,Yes,33,Female,Tertiary,Tenant,Self-Employed,Comfortable,1,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,2,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,None,None,Moderate
542,Yes,24,Female,Tertiary,Tenant,Student,Comfortable,4,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Rarely,,,,4,1,4,1,5,5,5,NA,No,Yes,Residential Area,Not sure,Yes,Good,None,Community gate,Bus stop/motor park,Moderate
543,Yes,35,Female,Tertiary,Tenant,Self-Employed,Just getting by,3,1,1,1,1,1,1,1,5,5,5,5,5,4,No,,No,,No,,No,,Rarely,,,,1,1,1,3,5,5,5,NA,No,Yes,Residential Area,Not sure,Yes,Good,None,Community gate,Bus stop/motor park,Moderate
544,Yes,40,Female,Tertiary,Tenant,Self-Employed,Struggling,30,1,1,1,1,1,1,1,5,5,5,1,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,5,5,5,NA,No,Yes,Residential Area,Not sure,Yes,Good,None,Community gate,Bus stop/motor park,Moderate
545,Yes,19,Male,Tertiary,Tenant,Student,Just getting by,19,1,5,1,5,5,1,5,5,1,1,1,1,5,No,,Yes,Twice,No,,No,,Very Often,,,,4,1,4,4,1,5,5,NA,No,Yes,Residential Area,Not sure,Yes,Fair,None,Both,Bus stop/motor park,Moderate
546,Yes,25,Female,Tertiary,Tenant,Self-Employed,Comfortable,11,1,1,1,1,1,1,1,5,5,1,1,2,4,No,,No,,No,,No,,Rarely,,,,3,1,1,4,5,5,5,NA,No,Yes,Residential Area,Yes,Yes,Poor,"Litter, Open drainage",None,None,Quiet
547,Yes,32,Female,Tertiary,Tenant,Unemployed,Just getting by,32,1,1,1,1,2,1,1,5,5,3,3,3,5,No,,No,,No,,No,,Rarely,,,,1,1,1,3,5,5,5,NA,Yes,Yes,Residential Area,No,Mixed,Fair,Open drainage,Community gate,None,Moderate
548,Yes,23,Female,Secondary,Tenant,Student,Struggling,1,1,1,1,1,1,1,1,5,5,1,1,1,4,No,,No,,No,,No,,Sometimes,,,,4,3,1,4,5,5,5,NA,Yes,Yes,Residential Area,No,Mixed,Fair,Open drainage,Community gate,None,Moderate
549,Yes,65,Male,Secondary,Tenant,Self-Employed,Just getting by,10,2,2,1,1,1,2,2,5,5,1,3,2,4,No,,No,,No,,No,,Rarely,,,,1,1,2,1,4,3,4,NA,Yes,Yes,Residential Area,Yes,Yes,Good,None,None,"Major market,Bars/viewing centres,Bus stop/motor park",Moderate
550,Yes,46,Male,Secondary,Tenant,Self-Employed,Comfortable,20,2,1,1,1,1,1,1,5,5,5,3,4,4,No,,No,,No,,No,,Rarely,,,,2,1,1,3,3,4,3,NA,Yes,No,Residential Area,No,No,Good,Open drainage,Community gate,Bus stop/motor park,Busy
551,Yes,39,Male,Secondary,Tenant,Self-Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,5,4,3,2,No,,No,,No,,No,,Rarely,,,,3,1,1,3,5,3,4,NA, No,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Busy
552,Yes,30,Female,Secondary,Tenant,Self-Employed,Comfortable,5,1,1,1,1,1,1,1,5,5,3,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,4,3,4,2,NA,Yes,Yes,Residential Area,No,Yes,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Busy
553,Yes,43,Male,Secondary,Tenant,Employed,Just getting by,26,1,1,1,1,1,1,1,5,5,2,1,2,3,No,,No,,No,,No,,Rarely,,,,3,1,1,1,5,4,4,NA,Yes,No,Residential Area, No,Yes,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
554,Yes,40,Female,Secondary,Tenant,Self-Employed,Comfortable,18,2,2,4,3,1,2,2,5,5,2,1,2,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,3,4,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
555,Yes,60,Male,Tertiary,Tenant,Employed,Just getting by,17,2,2,1,1,1,1,1,5,5,4,3,3,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,4,5,NA,No,Yes,Residential Area,No,No,Fair,Litter,Community gate,Bus stop/motor park,Busy
556,Yes,35,Male,Tertiary,Tenant,Self-Employed,Comfortable,10,1,1,1,1,1,1,1,5,5,2,2,3,5,No,,No,,No,,No,,Rarely,,,,2,1,1,1,1,2,1,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Community gate,"Major market,Bus stop/motor park",Busy
557,Yes,28,Male,Secondary,Tenant,Self-Employed,Comfortable,6,1,1,1,1,1,1,1,5,5,2,1,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,1,2,1,NA,No,Yes,Major Road,Yes,No,Good,Litter,None,"Major market,Bus stop/motor park",Very Busy
558,Yes,18,Male,Secondary,Tenant,Student,Comfortable,5,1,1,1,1,1,1,1,5,5,2,1,2,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,3,2,NA,Yes,No,Residential Area,No,Yes,Good,Open drainage,"Community gate, Vigilante Post",Bus stop/motor park,Moderate
559,Yes,68,Male,Secondary,Tenant,Employed,Just getting by,15,1,3,2,3,1,1,2,5,5,4,2,3,1,No,,No,,No,,No,,Rarely,,,,1,1,1,1,3,2,2,NA,Yes,No,Major Road,No,Yes,Good,None,None,Bus stop/motor park,Very Busy
560,Yes,26,Male,Tertiary,Tenant,Student,Just getting by,5,3,3,2,2,2,3,3,4,4,5,5,5,5,No,,Yes,Once,No,,No,,Rarely,,,,3,1,4,3,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,"Bars/viewing centres,Bus stop/motor park",Busy
561,Yes,38,Male,Secondary,Tenant,Self-Employed,Comfortable,20,1,1,4,4,4,3,2,5,5,1,1,1,4,No,,No,,No,,No,,Rarely,,,,2,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Major market,Moderate
562,Yes,22,Male,Secondary,Tenant,Unemployed,Just getting by,22,1,1,1,2,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Fair,Litter,None,Bus stop/motor park,Busy
563,Yes,40,Male,Primary,Tenant,Self-Employed,Just getting by,25,1,1,1,1,1,4,4,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Fair,Litter,None,Bus stop/motor park,Busy
564,Yes,35,Female,Tertiary,Tenant,Employed,Comfortable,12,1,1,1,3,1,1,1,4,4,4,4,4,1,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,4,NA,No,Yes,Major Road,Yes,Yes,Fair,Litter,None,Bus stop/motor park,Busy
565,Yes,27,Female,Tertiary,Tenant,Unemployed,Just getting by,27,1,1,1,1,1,2,2,4,4,2,2,2,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,No,Yes,Major Road,Yes,Yes,Fair,Litter,None,Bus stop/motor park,Busy
566,Yes,35,Female,Secondary,Tenant,Self-Employed,Just getting by,10,1,1,1,1,1,2,2,4,4,4,2,1,4,No,,No,,No,,No,,Rarely,,,,1,1,1,3,1,1,1,NA,No,Yes,Major Road,Yes,Yes,Fair,Litter,None,Bus stop/motor park,Busy
567,Yes,19,Male,Secondary,Tenant,Student,Just getting by,15,1,1,1,1,1,1,1,4,4,2,2,2,3,No,,No,,No,,No,,Rarely,,,,1,1,1,3,4,4,4,NA,No,No,Major Road,Yes,Yes,Fair,Litter,None,Bus stop/motor park,Moderate
568,Yes,56,Female,Secondary,Tenant,Self-Employed,Just getting by,43,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,2,2,4,4,4,4,4,NA,No,Yes,Major Road,Yes,Mixed,Fair,Litter,None,"Major market,Bus stop/motor park",Busy
569,Yes,28,Female,Tertiary,Tenant,Employed,Comfortable,5,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Mixed,Good,None,None,Bus stop/motor park,Busy
570,Yes,41,Male,None,Tenant,Self-Employed,Comfortable,26,1,1,1,1,1,1,1,4,4,1,1,2,3,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,No,Fair,Litter,None,Major market,Very Busy
571,Yes,36,Female,Secondary,Tenant,Self-Employed,Just getting by,36,1,1,1,1,1,2,2,2,2,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,4,2,4,4,4,NA,Yes,Yes,Major Road,Yes,No,Fair,Litter,None,Major market,Very Busy
572,Yes,26,Female,Tertiary,Tenant,Student,Just getting by,15,1,1,1,1,1,2,2,4,3,1,1,1,4,No,,No,,No,,No,,Rarely,,,,1,3,3,2,4,4,2,NA,Not sure,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,None,Busy
573,Yes,24,Female,Secondary,Tenant,Student,Struggling,24,1,1,1,1,1,1,1,4,4,1,1,3,3,No,,No,,Yes,Once,No,,Sometimes,,,,1,1,1,1,4,2,5,NA,Not sure,Yes,Major Road,Yes,Mixed,Poor,Open drainage,None,None,Busy
574,Yes,25,Female,Tertiary,Tenant,Employed,Struggling,25,1,1,1,4,4,1,1,4,4,4,2,3,4,No,,No,,No,,No,,Rarely,,,,1,1,4,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,Bars/viewing centres,Very Busy
575,Yes,57,Female,Tertiary,Tenant,Self-Employed,Comfortable,32,1,1,1,3,3,4,1,4,4,1,1,1,4,No,,Yes,Once,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,No,Residential Area,No,Yes,Good,Litter,"Community gate, Vigilante Post",Bus stop/motor park,Moderate
576,Yes,43,Male,Tertiary,Tenant,Employed,Just getting by,10,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,1,1,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,None,None,Bus stop/motor park,Busy
577,Yes,29,Male,None,Tenant,Self-Employed,Just getting by,2,1,1,1,1,1,1,1,4,4,1,1,4,4,No,,No,,No,,No,,Sometimes,,,,4,1,3,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,None,None,Bus stop/motor park,Busy
578,Yes,55,Male,Tertiary,Tenant,Self-Employed,Comfortable,25,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,4,4,1,1,1,NA,Yes,Yes,Residential Area,Yes,Mixed,Poor,"Litter, Open drainage",None,Bus stop/motor park,Busy
579,Yes,44,Female,Secondary,Tenant,Self-Employed,Just getting by,17,1,1,1,1,1,4,4,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,4,4,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Poor,"Litter, Open drainage",None,Bus stop/motor park,Busy
580,Yes,20,Male,Secondary,Tenant,Unemployed,Struggling,20,1,1,1,3,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",None,Bus stop/motor park,Busy
581,Yes,22,Male,Tertiary,Tenant,Student,Struggling,15,1,1,1,1,1,4,4,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,2,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Busy
582,Yes,26,Female,Tertiary,Tenant,Student,Just getting by,26,1,1,4,4,4,2,2,3,4,4,1,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Busy
583,Yes,34,Male,None,Tenant,Self-Employed,Just getting by,15,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,4,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Busy
584,Yes,47,Male,None,Tenant,Self-Employed,Just getting by,30,1,1,1,1,1,1,1,4,4,4,4,4,1,No,,No,,No,,No,,Sometimes,,,,1,1,1,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,Open drainage,Community gate,Bus stop/motor park,Busy
585,Yes,35,Male,None,Tenant,Self-Employed,Comfortable,8,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,4,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,Open drainage,Community gate,Bus stop/motor park,Busy
586,Yes,56,Male,Tertiary,Landlord,Employed,Comfortable,25,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,4,1,4,4,4,4,NA,No,No,Major Road,Yes,Mixed,Good,Litter,None,Major market,Busy
587,Yes,63,Male,Secondary,Tenant,Self-Employed,Just getting by,19,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Mixed,Poor,Litter,None,Major market,Very Busy
588,Yes,38,Male,Tertiary,Landlord,Employed,Comfortable,38,1,1,1,1,1,1,1,4,4,1,1,2,3,No,,No,,No,,Yes,Once,Sometimes,,,,1,1,1,1,1,1,1,NA,Yes,No,Residential Area,Yes,Yes,Good,"Litter, Open drainage",None,"Bars/viewing centres,Bus stop/motor park",Busy
589,Yes,22,Female,Tertiary,Tenant,Student,Comfortable,22,1,1,1,4,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Yes,Good,"Litter, Open drainage",None,"Bars/viewing centres,Bus stop/motor park",Very Busy
590,Yes,41,Female,Secondary,Tenant,Self-Employed,Comfortable,26,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Yes,Good,None,None,Bus stop/motor park,Busy
591,Yes,56,Female,Tertiary,Landlord,Employed,Comfortable,36,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Yes,Good,None,None,"Bars/viewing centres,Bus stop/motor park",Busy
592,Yes,45,Female,Tertiary,Tenant,Self-Employed,Comfortable,45,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Major Road,Yes,Mixed,Good,None,None,"Bars/viewing centres,Bus stop/motor park",Very Busy
593,Yes,25,Female,Tertiary,Tenant,Employed,Struggling,9,1,1,1,1,1,1,1,4,4,1,1,4,4,No,,No,,No,,No,,Sometimes,,,,3,1,1,2,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,Open drainage,Community gate,None,Moderate
594,Yes,22,Female,Secondary,Tenant,Unemployed,Just getting by,22,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,3,1,1,2,4,4,4,NA,No,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",Community gate,None,Moderate
595,Yes,21,Female,Tertiary,Tenant,Unemployed,Just getting by,12,1,1,1,1,1,1,1,4,4,4,4,4,4,No,,No,,No,,No,,Rarely,,,,3,1,1,2,4,4,4,NA,Yes,Yes,Alleyway,Yes,Yes,Good,"Litter, Open drainage",Community gate,None,Moderate
596,Yes,72,Male,Tertiary,Landlord,Self-Employed,Comfortable,52,1,1,1,1,1,1,1,4,4,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",None,Bus stop/motor park,Busy
597,Yes,32,Male,Tertiary,Tenant,Employed,Comfortable,14,1,1,1,1,1,1,1,4,4,4,4,4,1,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,None,None,Bus stop/motor park,Busy
598,Yes,45,Female,Tertiary,Tenant,Employed,Comfortable,40,2,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Residential Area,No,Yes,Fair,Open drainage,None,None,Quiet
599,Yes,23,Female,Tertiary,Tenant,Employed,Just getting by,5,1,1,1,5,1,1,1,5,5,1,1,1,1,No,,No,,No,,No,,Sometimes,,,,5,5,5,1,1,5,5,NA,Yes,Yes,Residential Area,No,Yes,Good,Litter,Vigilante Post,"Bars/viewing centres,Bus stop/motor park",Moderate
600,Yes,26,Female,Tertiary,Tenant,Employed,Just getting by,2,2,2,1,1,1,1,1,5,5,3,4,4,3,No,,Yes,Once,No,,No,,Sometimes,,,,3,1,4,2,4,4,4,NA,No,No,Residential Area,No,No,Poor,"Litter, Open drainage",None,Bus stop/motor park,Moderate
601,Yes,20,Female,Tertiary,Tenant,Self-Employed,Just getting by,1,5,1,5,1,1,1,1,5,5,3,4,4,3,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,1,1,1,NA,No,Yes,Major Road,Yes,Yes,Good,Abandoned/ Uncompleted Building,Community Gate,Major Market,Very Busy
602,Yes,38,Male,Tertiary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,2,2,2,4,4,3,2,3,4,No,,No,,No,,No,,Sometimes,,,,3,1,1,2,4,4,4,NA,No,No,Residential Area,No,Yes,Good,None,Community Gate,None,Quiet
603,Yes,31,Female,Tertiary,Tenant,Self-Employed,Just getting by,2,5,5,1,1,1,3,3,3,3,1,1,1,1,No,,Yes,Ten times,No,,No,,Sometimes,,,,4,1,4,1,1,1,1,NA,No,No,Residential Area,No,Yes,Good,None,Community Gate,None,Moderate
604,Yes,21,Male,Tertiary,Tenant,Student,Struggling,1,1,1,1,1,1,2,1,5,5,2,2,2,3,No,,No,,No,,No,,Sometimes,,,,2,2,2,3,3,3,4,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Open drainage,None,None,Quiet
605,Yes,19,Female,Tertiary,Tenant,Student,Comfortable,6,1,1,1,5,1,1,1,5,5,1,5,5,5,No,,No,,No,,No,,Never,,,,1,1,4,1,5,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,None,Community Gate,None,Moderate
